eventid,date,1st,2nd,3rd,4th,5th,joker
1766,15/12/2016,14,1.0,41.0,27.0,39.0,2
1765,11/12/2016,33,42.0,14.0,34.0,10.0,6
1764,8/12/2016,15,45.0,40.0,8.0,22.0,6
1763,4/12/2016,12,30.0,17.0,36.0,28.0,8
1762,1/12/2016,45,43.0,14.0,29.0,35.0,1
1761,27/11/2016,43,33.0,2.0,31.0,35.0,20
1760,24/11/2016,45,11.0,13.0,38.0,25.0,11
1759,20/11/2016,34,3.0,16.0,40.0,26.0,8
1758,17/11/2016,10,36.0,24.0,17.0,41.0,9
1757,13/11/2016,25,5.0,39.0,2.0,3.0,13
1756,10/11/2016,22,37.0,6.0,16.0,26.0,9
1755,6/11/2016,3,4.0,21.0,30.0,25.0,10
1754,3/11/2016,12,21.0,17.0,23.0,20.0,15
1753,30/10/2016,31,34.0,11.0,12.0,24.0,10
1752,27/10/2016,10,18.0,2.0,19.0,16.0,9
1751,23/10/2016,25,34.0,2.0,18.0,22.0,17
1750,20/10/2016,28,34.0,11.0,9.0,3.0,4
1749,16/10/2016,9,41.0,8.0,23.0,35.0,3
1748,13/10/2016,11,13.0,10.0,36.0,21.0,3
1747,9/10/2016,41,23.0,40.0,28.0,12.0,4
1746,6/10/2016,27,45.0,40.0,11.0,5.0,10
1745,2/10/2016,2,33.0,20.0,6.0,34.0,1
1744,29/9/2016,15,44.0,11.0,19.0,32.0,1
1743,25/9/2016,43,41.0,40.0,24.0,12.0,19
1742,22/9/2016,6,30.0,39.0,14.0,36.0,2
1741,18/9/2016,16,30.0,28.0,45.0,2.0,20
1740,15/9/2016,42,14.0,27.0,12.0,3.0,18
1739,11/9/2016,24,13.0,12.0,31.0,6.0,17
1738,8/9/2016,12,21.0,31.0,43.0,4.0,20
1737,4/9/2016,40,23.0,42.0,29.0,16.0,15
1736,1/9/2016,14,19.0,10.0,21.0,40.0,2
1735,28/8/2016,10,32.0,44.0,4.0,18.0,2
1734,25/8/2016,23,44.0,15.0,35.0,34.0,3
1733,21/8/2016,38,12.0,44.0,27.0,37.0,10
1732,18/8/2016,15,30.0,17.0,32.0,4.0,4
1731,14/8/2016,16,32.0,18.0,31.0,14.0,13
1730,11/8/2016,39,38.0,44.0,37.0,27.0,1
1729,7/8/2016,35,38.0,39.0,11.0,34.0,17
1728,4/8/2016,32,9.0,34.0,5.0,2.0,5
1727,31/7/2016,21,34.0,12.0,19.0,8.0,8
1726,28/7/2016,14,40.0,7.0,5.0,29.0,4
1725,24/7/2016,2,41.0,35.0,20.0,33.0,7
1724,21/7/2016,29,5.0,15.0,32.0,44.0,18
1723,17/7/2016,38,23.0,13.0,18.0,3.0,4
1722,14/7/2016,40,32.0,33.0,14.0,35.0,8
1721,10/7/2016,8,23.0,45.0,33.0,2.0,19
1720,7/7/2016,18,34.0,37.0,12.0,5.0,12
1719,3/7/2016,18,1.0,8.0,4.0,39.0,6
1718,30/6/2016,24,16.0,21.0,19.0,17.0,5
1717,26/6/2016,23,5.0,33.0,25.0,22.0,17
1716,23/6/2016,12,21.0,37.0,8.0,35.0,4
1715,19/6/2016,37,24.0,23.0,30.0,8.0,15
1714,16/6/2016,26,43.0,18.0,45.0,12.0,19
1713,12/6/2016,26,21.0,8.0,12.0,7.0,4
1712,9/6/2016,31,42.0,1.0,30.0,15.0,7
1711,5/6/2016,6,22.0,2.0,31.0,18.0,2
1710,2/6/2016,19,7.0,29.0,37.0,18.0,11
1709,29/5/2016,40,10.0,16.0,29.0,34.0,5
1708,26/5/2016,43,26.0,7.0,8.0,6.0,7
1707,22/5/2016,34,15.0,17.0,9.0,24.0,15
1706,19/5/2016,23,10.0,5.0,3.0,44.0,13
1705,15/5/2016,9,15.0,41.0,27.0,35.0,8
1704,12/5/2016,9,37.0,14.0,43.0,40.0,15
1703,8/5/2016,39,24.0,18.0,30.0,38.0,15
1702,5/5/2016,21,45.0,7.0,14.0,44.0,19
1701,30/4/2016,8,17.0,29.0,14.0,15.0,17
1700,27/4/2016,43,39.0,23.0,28.0,24.0,12
1699,24/4/2016,27,4.0,30.0,26.0,44.0,5
1698,21/4/2016,38,20.0,41.0,34.0,45.0,13
1697,17/4/2016,15,43.0,35.0,5.0,12.0,1
1696,14/4/2016,2,29.0,6.0,20.0,16.0,6
1695,10/4/2016,36,19.0,17.0,8.0,26.0,1
1694,7/4/2016,43,31.0,14.0,6.0,42.0,17
1693,3/4/2016,5,10.0,44.0,20.0,9.0,16
1692,31/3/2016,22,1.0,21.0,43.0,41.0,9
1691,27/3/2016,1,5.0,27.0,43.0,42.0,15
1690,24/3/2016,21,31.0,14.0,19.0,32.0,4
1689,20/3/2016,22,40.0,27.0,10.0,17.0,10
1688,17/3/2016,43,24.0,5.0,27.0,14.0,4
1687,13/3/2016,5,27.0,24.0,35.0,31.0,3
1686,10/3/2016,27,44.0,39.0,26.0,3.0,8
1685,6/3/2016,20,14.0,31.0,21.0,30.0,5
1684,3/3/2016,38,34.0,11.0,27.0,40.0,15
1683,28/2/2016,15,16.0,43.0,2.0,28.0,10
1682,25/2/2016,2,1.0,19.0,4.0,16.0,12
1681,21/2/2016,38,27.0,45.0,21.0,14.0,8
1680,18/2/2016,32,25.0,27.0,37.0,26.0,4
1679,14/2/2016,20,27.0,32.0,34.0,6.0,10
1678,11/2/2016,25,17.0,4.0,28.0,30.0,10
1677,7/2/2016,9,14.0,1.0,11.0,5.0,8
1676,4/2/2016,41,5.0,19.0,44.0,12.0,2
1675,31/1/2016,3,14.0,13.0,27.0,31.0,4
1674,28/1/2016,35,25.0,32.0,33.0,41.0,19
1673,24/1/2016,10,5.0,26.0,11.0,21.0,10
1672,21/1/2016,31,37.0,39.0,15.0,45.0,5
1671,17/1/2016,18,29.0,14.0,5.0,4.0,8
1670,14/1/2016,32,5.0,38.0,29.0,36.0,15
1669,10/1/2016,42,20.0,6.0,13.0,39.0,5
1668,7/1/2016,25,44.0,24.0,12.0,43.0,3
1667,3/1/2016,7,16.0,38.0,1.0,13.0,2
